70175.65507556366,0.0005,[13, 9, 4],1000
68776.72260570346,0.0005,[9, 4],5100
68776.1986377812,0.0005,[9, 4],5200
223515.30477491932,0.0005,[13, 9, 4],1100
68776.2059322312,0.0005,[9, 4],5300
69113.20014341999,0.0005,[13, 9, 4],1200
223515.30477491932,0.0005,[9, 4],5400
68879.99028769915,0.0005,[13, 9, 4],1300
68776.19892072384,0.0005,[9, 4],5500
69366.2599111171,0.0005,[13, 9, 4],1400
223515.30477491932,0.0005,[9, 4],5600
69244.77290833092,0.0005,[13, 9, 4],1500
69013.73506390677,0.0005,[13, 9, 4],1600
68930.75067705293,0.0005,[13, 9, 4],1700
223515.30477491932,0.0005,[9, 4],5700
68776.20156487155,0.0005,[9, 4],5800
68881.86258607695,0.0005,[13, 9, 4],1800
68776.19728838265,0.0005,[9, 4],5900
223515.30477491932,0.0005,[13, 9, 4],1900
223515.30477491932,0.0005,[13, 9, 4],2000
69262.92033146501,0.0005,[13, 9, 4],2100
223515.30477491932,0.0005,[13, 9, 4],2200
223515.30477491932,0.0005,[13, 9, 4],2300
223515.30477491932,0.0005,[13, 9, 4],2400
68932.4602119964,0.0005,[13, 9, 4],2500
223515.30477491932,0.0005,[13, 9, 4],2600
68789.42966030071,0.0005,[13, 9, 4],2700
68775.16522413748,0.0005,[13, 9, 4],2800
223515.30477491932,0.0005,[13, 9, 4],2900
223515.30477491932,0.0005,[13, 9, 4],3000
68776.20932153148,0.0005,[13, 9, 4],3100
68776.9400650752,0.0005,[13, 9, 4],3200
68776.40893472126,0.0005,[13, 9, 4],3300
223515.30477491932,0.0005,[13, 9, 4],3400
223515.30477491932,0.0005,[13, 9, 4],3500
223515.30477491932,0.0005,[13, 9, 4],3600
68783.64308988878,0.0005,[13, 9, 4],3700
68777.50146511571,0.0005,[13, 9, 4],3800
68776.19884405701,0.0005,[13, 9, 4],3900
68776.19749152394,0.0005,[13, 9, 4],4000
68776.19867928016,0.0005,[13, 9, 4],4100
68776.19891512336,0.0005,[13, 9, 4],4200
223515.30477491932,0.0005,[13, 9, 4],4300
68776.37361280086,0.0005,[13, 9, 4],4400
223515.30477491932,0.0005,[13, 9, 4],4500
223515.30477491932,0.0005,[13, 9, 4],4600
223515.30477491932,0.0005,[13, 9, 4],4700
223515.30477491932,0.0005,[13, 9, 4],4800
68776.19914749496,0.0005,[13, 9, 4],4900
71965.67489218315,0.0005,[4, 3, 3],1000
223515.30477491932,0.0005,[13, 9, 4],5000
70158.3161159369,0.0005,[4, 3, 3],1100
68776.19929765731,0.0005,[13, 9, 4],5100
69843.03195853301,0.0005,[4, 3, 3],1200
69308.45425651359,0.0005,[4, 3, 3],1300
223515.30477491932,0.0005,[13, 9, 4],5200
68776.19868036082,0.0005,[13, 9, 4],5300
69300.03705006996,0.0005,[4, 3, 3],1400
68776.2031173317,0.0005,[13, 9, 4],5400
71977.84867605372,0.0005,[4, 3, 3],1500
223515.30477491932,0.0005,[4, 3, 3],1600
68776.20074783721,0.0005,[13, 9, 4],5500
223515.30477491932,0.0005,[4, 3, 3],1700
223515.30477491932,0.0005,[4, 3, 3],1800
68776.21107432917,0.0005,[13, 9, 4],5600
223515.30477491932,0.0005,[13, 9, 4],5700
223515.30477491932,0.0005,[4, 3, 3],1900
68830.42562427968,0.0005,[4, 3, 3],2000
223515.30477491932,0.0005,[4, 3, 3],2100
223515.30477491932,0.0005,[13, 9, 4],5800
71029.09904232707,0.0005,[4, 3, 3],2200
68776.20052589172,0.0005,[13, 9, 4],5900
223515.30477491932,0.0005,[4, 3, 3],2300
69332.83450308045,0.0005,[4, 3, 3],2400
223515.30477491932,0.0005,[4, 3, 3],2500
69030.1758532414,0.0005,[4, 3, 3],2600
223515.30477491932,0.0005,[4, 3, 3],2700
68845.91456860439,0.0005,[4, 3, 3],2800
68890.13556253594,0.0005,[4, 3, 3],2900
223515.30477491932,0.0005,[4, 3, 3],3000
223515.30477491932,0.0005,[4, 3, 3],3100
223515.30477491932,0.0005,[4, 3, 3],3200
223515.30477491932,0.0005,[4, 3, 3],3300
69041.85414295961,0.0005,[4, 3, 3],3400
68781.12467277619,0.0005,[4, 3, 3],3500
223515.30477491932,0.0005,[4, 3, 3],3600
68778.70436562331,0.0005,[4, 3, 3],3700
68900.5053620671,0.0005,[4, 3, 3],3800
223515.30477491932,0.0005,[4, 3, 3],3900
68794.15370440227,0.0005,[4, 3, 3],4000
